# 范德华半径项，来自NACESS,改成Charmm命名2009.1.11.
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  CD1 1.76 0 
ATOM  CD2 1.76 0 
ATOM  CE1 1.76 0 
ATOM  CE2 1.76 0 
ATOM  CZ  1.76 0 
RESIDUE ATOM PRO  7             
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.87 0 
ATOM  CD  1.87 0 
RESIDUE ATOM SER  6 
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  OG  1.40 1 
RESIDUE ATOM THR  7
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  OG1 1.40 1 
ATOM  CG2 1.87 0 
RESIDUE ATOM TRP 14
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  CD1 1.76 0 
ATOM  CD2 1.76 0 
ATOM  NE1 1.65 1 
ATOM  CE2 1.76 0 
ATOM  CE3 1.76 0 
ATOM  CZ2 1.76 0 
ATOM  CZ3 1.76 0 
ATOM  CH2 1.76 0 
RESIDUE ATOM TYR 12
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG  1.76 0 
ATOM  CD1 1.76 0 
ATOM  CD2 1.76 0 
ATOM  CE1 1.76 0 
ATOM  CE2 1.76 0 
ATOM  CZ  1.76 0 
ATOM  OH  1.40 1 
RESIDUE ATOM VAL  7              
ATOM  N   1.65 1 
ATOM  CA  1.87 0 
ATOM  C   1.76 0 
ATOM  O   1.40 1 
ATOM  CB  1.87 0 
ATOM  CG1 1.87 0 
ATOM  CG2 1.87 0 

